Filename;Moments
C:\Users\LabNeuro\Documents\MATLAB\P2\etc\voicemodule\data\voicerecognition_16h49.43.wav;1,9965
C:\Users\LabNeuro\Documents\MATLAB\P2\etc\voicemodule\data\voicerecognition_16h49.43.wav;2,925
C:\Users\LabNeuro\Documents\MATLAB\P2\etc\voicemodule\data\voicerecognition_16h49.43.wav;3,7375
C:\Users\LabNeuro\Documents\MATLAB\P2\etc\voicemodule\data\voicerecognition_16h49.43.wav;4,3179
C:\Users\LabNeuro\Documents\MATLAB\P2\etc\voicemodule\data\voicerecognition_16h49.43.wav;4,5965
