Filename;Moments
C:\Users\LAB\Documents\MATLAB\P2\etc\voice\data\audio_AnaPaulaRiveiro_Edward2_19.10_16h49.43.wav;95,2899
C:\Users\LAB\Documents\MATLAB\P2\etc\voice\data\audio_AnaPaulaRiveiro_Edward2_19.10_16h49.43.wav;97,2462
C:\Users\LAB\Documents\MATLAB\P2\etc\voice\data\audio_AnaPaulaRiveiro_Edward2_19.10_16h49.43.wav;99,362
C:\Users\LAB\Documents\MATLAB\P2\etc\voice\data\audio_AnaPaulaRiveiro_Edward2_19.10_16h49.43.wav;101,4982
C:\Users\LAB\Documents\MATLAB\P2\etc\voice\data\audio_AnaPaulaRiveiro_Edward2_19.10_16h49.43.wav;103,5735
C:\Users\LAB\Documents\MATLAB\P2\etc\voice\data\audio_AnaPaulaRiveiro_Edward2_19.10_16h49.43.wav;105,6052
C:\Users\LAB\Documents\MATLAB\P2\etc\voice\data\audio_AnaPaulaRiveiro_Edward2_19.10_16h49.43.wav;107,6398
C:\Users\LAB\Documents\MATLAB\P2\etc\voice\data\audio_AnaPaulaRiveiro_Edward2_19.10_16h49.43.wav;109,8457
C:\Users\LAB\Documents\MATLAB\P2\etc\voice\data\audio_AnaPaulaRiveiro_Edward2_19.10_16h49.43.wav;111,8832
C:\Users\LAB\Documents\MATLAB\P2\etc\voice\data\audio_AnaPaulaRiveiro_Edward2_19.10_16h49.43.wav;113,7581
C:\Users\LAB\Documents\MATLAB\P2\etc\voice\data\audio_AnaPaulaRiveiro_Edward2_19.10_16h49.43.wav;115,8624
C:\Users\LAB\Documents\MATLAB\P2\etc\voice\data\audio_AnaPaulaRiveiro_Edward2_19.10_16h49.43.wav;118,0131
C:\Users\LAB\Documents\MATLAB\P2\etc\voice\data\audio_AnaPaulaRiveiro_Edward2_19.10_16h49.43.wav;120,2277
C:\Users\LAB\Documents\MATLAB\P2\etc\voice\data\audio_AnaPaulaRiveiro_Edward2_19.10_16h49.43.wav;122,0388
C:\Users\LAB\Documents\MATLAB\P2\etc\voice\data\audio_AnaPaulaRiveiro_Edward2_19.10_16h49.43.wav;124,1895
C:\Users\LAB\Documents\MATLAB\P2\etc\voice\data\audio_AnaPaulaRiveiro_Edward2_19.10_16h49.43.wav;126,2734
C:\Users\LAB\Documents\MATLAB\P2\etc\voice\data\audio_AnaPaulaRiveiro_Edward2_19.10_16h49.43.wav;128,3023
C:\Users\LAB\Documents\MATLAB\P2\etc\voice\data\audio_AnaPaulaRiveiro_Edward2_19.10_16h49.43.wav;130,3282
C:\Users\LAB\Documents\MATLAB\P2\etc\voice\data\audio_AnaPaulaRiveiro_Edward2_19.10_16h49.43.wav;132,3221
C:\Users\LAB\Documents\MATLAB\P2\etc\voice\data\audio_AnaPaulaRiveiro_Edward2_19.10_16h49.43.wav;134,4177
C:\Users\LAB\Documents\MATLAB\P2\etc\voice\data\audio_AnaPaulaRiveiro_Edward2_19.10_16h49.43.wav;136,522
C:\Users\LAB\Documents\MATLAB\P2\etc\voice\data\audio_AnaPaulaRiveiro_Edward2_19.10_16h49.43.wav;138,5304
C:\Users\LAB\Documents\MATLAB\P2\etc\voice\data\audio_AnaPaulaRiveiro_Edward2_19.10_16h49.43.wav;140,7972
C:\Users\LAB\Documents\MATLAB\P2\etc\voice\data\audio_AnaPaulaRiveiro_Edward2_19.10_16h49.43.wav;142,7767
C:\Users\LAB\Documents\MATLAB\P2\etc\voice\data\audio_AnaPaulaRiveiro_Edward2_19.10_16h49.43.wav;144,9303
